change_article,change_id,new_article,treaty_nr,part_nr,title_nr,chapter_nr,section_nr,article_nr,new_id,remarks
Article 78,3.3.4.X.X.78,Article 74,3,3,5,X,X,74,NA,NA
Article 79,3.3.4.X.X.79,Article 75,3,3,5,X,X,75,NA,NA
Article 80,3.3.4.X.X.80,Article 76,3,3,5,X,X,76,NA,NA
Article 81,3.3.4.X.X.81,Article 77,3,3,5,X,X,77,NA,NA
Article 82,3.3.4.X.X.82,Article 78,3,3,5,X,X,78,NA,NA
Article 83,3.3.4.X.X.83,Article 79,3,3,5,X,X,79,NA,NA
Article 84,3.3.4.X.X.84,Article 80,3,3,5,X,X,80,NA,NA
Article 85,3.3.5.1.1.85,Article 81,3,3,6,1,1,81,NA,NA
Article 86,3.3.5.1.1.86,Article 82,3,3,6,1,1,82,NA,NA
Article 87,3.3.5.1.1.87,Article 83,3,3,6,1,1,83,NA,NA
Article 88,3.3.5.1.1.88,Article 84,3,3,6,1,1,84,NA,NA
Article 89,3.3.5.1.1.89,Article 85,3,3,6,1,1,85,NA,NA
Article 90,3.3.5.1.1.90,Article 86,3,3,6,1,1,86,NA,NA
Article 92,3.3.5.1.2.92,Article 87,3,3,6,1,2,87,NA,NA
Article 93,3.3.5.1.2.93,Article 88,3,3,6,1,2,88,NA,NA
Article 94,3.3.5.1.2.94,Article 89,3,3,6,1,2,89,NA,NA
Article 95,3.3.5.2.X.95,Article 90,3,3,6,2,X,90,NA,NA
Article 96,3.3.5.2.X.96,Article 91,3,3,6,2,X,91,NA,NA
Article 98,3.3.5.2.X.98,Article 92,3,3,6,2,X,92,NA,NA
Article 99,3.3.5.2.X.99,Article 93,3,3,6,2,X,93,NA,NA
Article 100,3.3.5.3.X.100,Article 94,3,3,6,3,X,94,NA,NA
Article 100a,3.3.5.3.X.100a,Article 95,3,3,6,3,X,95,NA,NA
Article 101,3.3.5.3.X.101,Article 96,3,3,6,3,X,96,NA,NA
Article 102,3.3.5.3.X.102,Article 97,3,3,6,3,X,97,NA,NA
